span	freq	ascii_variant	contexts
Doer	1	Doer	"Doer of No Harm" is my name, but I used to b
Does Master Gotama	1	Does Master Gotama	knowledge, full Awakening, Unbinding." "Does Master Gotama have any position at all?" "A 'position
Drink	1	Drink	n seeing him, he went to him and said, "Drink some of this fresh milk, master Sariput
Durannaya	1	Durannaya	"Durannaya, Sangha, and Uccaya, and then the sage
Dusk	1	Dusk	First watch: Dusk to 10 p.m.
Dwelling	1	Dwelling	na which the noble ones (ariyas) call: 'Dwelling in equanimity, mindfulness, and bliss.'
Early Buddhist Poetry	1	Early Buddhist Poetry	Rhys Davids, from Early Buddhist Poetry, ed.
Eat	1	Eat	Don't harass us." "Eat, then, my dear Ratthapala.
Eight Precepts	1	Eight Precepts	ous, keeping the Five Precepts, and the Eight Precepts on Uposatha days and so on, but once sh
Elements	1	Elements	Reflection on the Modes of Materiality (Elements, Dhatu) "And further, O bhikkhus, a bhi
Encountered	1	Encountered	" Encountered ": (Comy) after having been sought for,
Enlightened Ones	1	Enlightened Ones	according to the Visuddhimagga, to the Enlightened Ones.
Enlightenment And	1	Enlightenment And	The Seven Factors of Enlightenment And further, monks, a monk lives contemplat
Enough Punna	1	Enough Punna	I could not persuade you when I said, 'Enough Punna, let that be.
Enough.'	1	Enough.'	e lying.' So I dismissed them, saying, 'Enough.' "I thought: 'Suppose I were to take onl
Enthusiasm	1	Enthusiasm	789.] Enthusiasm (veda).
Eternal	1	Eternal	as stating his view in similar terms: "Eternal are self and world...
Eternally	1	Eternally	" Eternally the same " ( sassati-sama.m ): an Upani
Even Vassa	1	Even Vassa	"Even Vassa & Bhañña — those teachers from Okkala w
Eventually	1	Eventually	thinking, "I agree with the gamblers." Eventually, word of this conversation made its way
Every	1	Every	s for contemplation in a different way: Every factor in dependent co-arising is paire
Evil One's	1	Evil One's	Because he has gone beyond the Evil One's range." That is what the Blessed One sa
Exalted	1	Exalted	Thus have I heard: At one time the Exalted one was living at Saavatthi in the Jeta
Exertion	1	Exertion	r the final attainment of the truth." " Exertion is most helpful for the final attainmen
Exhorted	1	Exhorted	ponds.' Exhorted and instructed thus by you he might get
External Sense Bases And	1	External Sense Bases And	The Six Internal and External Sense Bases And further, monks, a monk lives contemplat
Eye-consciousness	1	Eye-consciousness	"Eye-consciousness is inconstant, changeable, of a nature
Fabrication Saying	1	Fabrication Saying	who has arrived at this true Dhamma." Fabrication Saying "Good, friend," having delighted in and
Fabrications	1	Fabrications	"Fabrications have ignorance as their cause, ignoranc
Face	1	Face	Samiddhi, "Face to face with Gotama the contemplative h
Factors Explained	1	Factors Explained	edi Sayadaw, The Eightfold Path and its Factors Explained (BPS Wheel No.
Fair-seeing	1	Fair-seeing	...of the Fair-seeing gods...
Fair-to-see	1	Fair-to-see	...of the Fair-to-see gods...
False	1	False	like this Arittha." Comy and Sub-Comy: False views themselves are "grounds" (or base
Father	1	Father	r, Creator, Chief, Appointer and Ruler, Father of All That Have Been and Shall Be.
Favoring	1	Favoring	"Favoring and opposing" (anurodha-pativirodha): r
Feast	1	Feast	Ñanamoli translates it as "Feast of Spring." 22 .
February-March	1	February-March	purification in the month of Phagguna (February-March).
Feeling And	1	Feeling And	The Contemplation of Feeling And how, monks, does a monk live contemplat
Feeling Saying	1	Feeling Saying	who has arrived at this true Dhamma." Feeling Saying "Good, friend," having delighted in and
Fermentation Saying	1	Fermentation Saying	who has arrived at this true Dhamma." Fermentation Saying "Good, friend," having delighted in and
Fetch	1	Fetch	Rahula, "Fetch your sitting cloth, Rahula.
Finally	1	Finally	) "Finally, the passage on 'misapprehending accord
First	1	First	ho is unvirtuous & of evil character?" "First, Assalayana, you went by birth.
First Council	1	First Council	uding verse added by the 'Theras of the First Council:] Deep like the ocean is this Suttanta
Five Piles	1	Five Piles	" A Refuge in Skillful Action ," and " Five Piles of Bricks "; see also the Introduction
Five Precepts	1	Five Precepts	led a good life, generous, keeping the Five Precepts, and the Eight Precepts on Uposatha day
Fletchers	1	Fletchers	[6] Fletchers shape the arrow shaft.
Foolish	1	Foolish	rs it in line with the second pattern: "Foolish man, has not consciousness generated by
Forest Hut	1	Forest Hut	the novice Aciravata was staying in the Forest Hut.
Formations	1	Formations	and has arrived at this true Dhamma." Formations 60.
Formerly	1	Formerly	Comy: " Formerly , that is when still in the environ of
Forms	1	Forms	If anyone were to say, 'Forms are the self,' that wouldn't be tenable
Four Applications	1	Four Applications	t is noteworthy that the section on the Four Applications of Mindfulness (satipatthana) is here f
Free	1	Free	" Free of patchwork " ( chinna-pilotika ); lit
Friend Sariputta	1	Friend Sariputta	ariputta and, on arrival, said to him: "Friend Sariputta, the monk named Punna Mantaniputta whom
Friend Visakha	1	Friend Visakha	gregates or is it something separate?" "Friend Visakha, neither is clinging the same thing as
Fully Enlightened	1	Fully Enlightened	sed One is such since he is arahant and Fully Enlightened, perfect in true knowledge and conduct,
Fully Enlightened Buddha	1	Fully Enlightened Buddha	ld be remembered that he is maligning a Fully Enlightened Buddha with a mind of hatred, and his intentio
G	1	G	es see Dictionary of Pali Proper Names, G.
Gagga	1	Gagga	is your mother's clan?" "My father is a Gagga , great king, and my mother a Mantani .
Gains	1	Gains	"Gains enthusiasm for the goal, gains enthusia
Gandhabba	1	Gandhabba	"Gandhabba" usually means a low level of celestial
Gandhara	1	Gandhara	[5] Gandhara, Pindola and Upasabha, Nitha, Tatha, Su
Ganges.' What	1	Ganges.' What	shall set fire to and scorch this river Ganges.' What do you think, monks, could that person
General	1	General	i Kosala turned to General Vidudabha : "General, who brought this topic into the palace
General Upananda	1	General Upananda	, the Magadhan administrator, turned to General Upananda and said, "What do you think, general?
Generation	1	Generation	Four Kinds of Generation 32.
Getting	1	Getting	htly Self-awakened One has come to me!" Getting up from his seat, arranging his upper r
Given	1	Given	s nutriment should be seen." — SN 22.54 Given that consciousness also functions at a
Gladly	1	Gladly	what accords with the Dhamma is this: 'Gladly would I let the flesh & blood in my bod
Glorious	1	Glorious	...of the Glorious gods...
Godhika	1	Godhika	— i.e., the consciousness of the monk, Godhika who, at the moment of committing suicid
Godhika Sutta	1	Godhika Sutta	The same phrase is used in the Godhika Sutta (SN 4.23; PTS I, 122) by Maara: anvesa.
Gods	1	Gods	"Gods" denotes the beings in the sensual heav
Gone	1	Gone	...of the gods that have Gone to Bliss...
Good Gotama	1	Good Gotama	aka-Moggallana spoke thus to the Lord: "Good Gotama, as for those persons who, in want of a
Good-looking	1	Good-looking	the Good-looking devas...
Gotama.'	1	Gotama.'	es in greater pleasure than you, friend Gotama.' "'Surely the venerable Niganthas said t
Grammatically	1	Grammatically	s "one who follows the sekha-patipada." Grammatically, as a compound, the form is strange, wi
Great Brahma	1	Great Brahma	For this Brahma, monk, is the Great Brahma, the Conqueror, the Unconquered, the Al
Great Contemplative	1	Great Contemplative	h is the teaching of the Tathagata, the Great Contemplative.
Great Fruit	1	Great Fruit	the body named Vehapphala (Sky-fruit/Great Fruit), {the body named Abhibhu (Conqueror)}
Great Man	1	Great Man	rsed in cosmology and in the marks of a Great Man.
Greece	1	Greece	." Like the sophists ("wisdom-ists") of Greece who were near contemporaries of the Bud
Growing	1	Growing	" "Growing close...
Growth	1	Growth	The Birth & Growth of a Being "Monks, the descent of the e
Guardsman's	1	Guardsman's	Ananda at Moggallana the Guardsman's construction site.
Gutijjita	1	Gutijjita	la, Vijita and Jita, Anga and Panga and Gutijjita.
Hadayavibhanga	1	Hadayavibhanga	ames are based on the commentary to the Hadayavibhanga (in the Vibhanga, second book of the Ab
Haliddavasana	1	Haliddavasana	there is a town of the Koliyans called Haliddavasana .
Happily	1	Happily	his body of which the Noble Ones say: 'Happily lives he who dwells in equanimity and i
Harmful	1	Harmful	" The Forty-four Ways of Effacement (1) Harmful and harmless are not attached to a grou
Hath	1	Hath	Nay now, who, ignorant to the ignorant, Hath told thee this: that water-baptism From
He's	1	He's	isn't dead, he's dying.' Others said, 'He's neither dead nor dying, he's an arahant
Hearing	1	Hearing	" "Hearing the Dhamma...
Hereby	1	Hereby	of the Divine Abidings attained by me.' Hereby the truth of cessation has been defined
Higher Knowledges	1	Higher Knowledges	An Opening to the Higher Knowledges "When anyone has developed & pursued mi
Hinga	1	Hinga	Hingu and Hinga of great power.
Hold	1	Hold	(b) Hold on tenaciously (adhanaggahi).
Holy Day	1	Holy Day	ore The Feast of Cleansing [21] and the Holy Day; [22] One pure in heart who does good d
Honey Discourse.'	1	Honey Discourse.'	r this Dhamma discourse as the 'Ball of Honey Discourse.'" That is what the Blessed One said.
Horner	1	Horner	Both The Middle-Length Sayings (Horner, trans.) and The Middle Length Discours
Hours	1	Hours	the devas of the Hours...
I.' For	1	I.' For	He is the one who knows, not I.' For a disciple who has conviction in the Te
Idaṃ	1	Idam	example of this pattern is in SN 41.2: Idaṃ kho gahapati dhātu-nānattaṃ vuttaṃ bhag
Ideal Solitude	1	Ideal Solitude	iscussion of this sutta may be found in Ideal Solitude: An Exposition on the Bhaddekaratta Sut
Ideas	1	Ideas	If anyone were to say, 'Ideas are the self,' that wouldn't be tenable
If Saccaka	1	If Saccaka	Saccaka the Nigaṇṭha-son, (thinking,) "If Saccaka the Nigaṇṭha-son doesn't answer when as
Ignorance Saying	1	Ignorance Saying	who has arrived at this true Dhamma." Ignorance Saying "Good, friend," having delighted in and
Impermanence	1	Impermanence	[25] Impermanence and Not-self 22 .
In AN	1	In AN	s (niddukkhabhava-sankhatena sukhena)." In AN 9.34 , the venerable Sariputta exclaims
In Brief	1	In Brief	The Five Destinations and Nibbana — In Brief 35.
In Detail	1	In Detail	The Five Destinations and Nibbana — In Detail 37.
In MN	1	In MN	inginess/divisiveness/quarrels/disputes In MN 18, the map is this: contact > feeling
In Pali	1	In Pali	"Clearly saw insight": In Pali, this is vipassanam vipassi, which coul
In Sn	1	In Sn	envy & stinginess > rivalry & hostility In Sn 4.11 , the map is less linear and can b
Internally'	1	Internally'	'Internally': contemplating his own breathing; 'exte
Intrepidity	1	Intrepidity	Four Kinds of Intrepidity 22.
Introduction	1	Introduction	" Five Piles of Bricks "; see also the Introduction to The Wings to Awakening , along with
Is Princess Vajiri	1	Is Princess Vajiri	to him, "What do you think, great king: Is Princess Vajiri dear to you?" "Yes, Mallika, Princess V
Its Fruit	1	Its Fruit	d happiness." The Explicit Teaching and Its Fruit 42 .
Jains	1	Jains	the Buddha refutes the theories of the Jains — here called the Niganthas — an order
Jali	1	Jali	"The two sages Jali [6] and Atthaka, then Kosala, the enlig
January	1	January	in South Asia in late December or early January.
Jayanta	1	Jayanta	"Jeta, Jayanta, Paduma, and Uppala; Padumuttara, Rakkh
Jayasena	1	Jayasena	[1] Then prince Jayasena, [2] who was always pacing up and down,
Jeta	1	Jeta	"Jeta, Jayanta, Paduma, and Uppala; Padumutta
Jetavana	1	Jetavana	Once the Bhagāva [1] was staying at the Jetavana monastery of Anāthapiṇḍika in Sāvatthi.
Jhana	1	Jhana	thought connected with mental states.' Jhana "He by allaying initial thought and dis
Jhana-vibhanga	1	Jhana-vibhanga	hidhamma Pitaka, we read in the chapter Jhana-vibhanga: "He is a bhikkhu because he has abando
Jita	1	Jita	"Kala, Upakala, Vijita and Jita, Anga and Panga and Gutijjita.
Jivaka Komarabhacca	1	Jivaka Komarabhacca	tta, Mahanama, Ugga, Anathapindika, and Jivaka Komarabhacca — are, in other parts of the Canon, des
Joy	1	Joy	ame of this monk?" "His name is Ananda (Joy), great king." "What a joy he is!
Junior	1	Junior	...of the gods who are Junior to None...
Kajjangalas	1	Kajjangalas	n the Blessed One was staying among the Kajjangalas in the Bamboo Grove.
Kala	1	Kala	"Kala, Upakala, Vijita and Jita, Anga and Pan
Kamboja	1	Kamboja	Have you heard that in Yana & Kamboja and other outlying countries there are
Kammakkhanda	1	Kammakkhanda	In the Cuula Vagga (Kammakkhanda) it is followed by announcing the Sangh
Kandy	1	Kandy	19 (Buddhist Publication Society, Kandy)].
Kanha	1	Kanha	obhita, Vataraga, and the paccekabuddha Kanha well freed in mind.
Kannakatthala	1	Kannakatthala	mong the Udaññans , in the Deer Park at Kannakatthala.
Kapadika's	1	Kapadika's	." And so the Blessed One, encompassing Kapadika's awareness with his awareness, met his g
Kesi	1	Kesi	"Bodhi, Mahanama, and then Uttara; Kesi, Sikhi, Sundara, and Bharadvaja.
Ketuma	1	Ketuma	ers of pride; Tadadhimutta, Vimala, and Ketuma.
Ketumbaraga	1	Ketumbaraga	"Ketumbaraga and Matanga, Ariya.
Khandha Sa.myutta	1	Khandha Sa.myutta	ion of suttas in the Sa.myutta Nikaaya (Khandha Sa.myutta, No.
Khemabhirata	1	Khemabhirata	angala, Dabbila, Suppatitthita, Asayha, Khemabhirata, and Sorata.
Khp	1	Khp	; the first of the Novice's Questions ( Khp 4 ), on nutriment.
Kiitaagiri Sutta	1	Kiitaagiri Sutta	meaning and in the same context, in the Kiitaagiri Sutta ( MN 70 ) and the Cankii Sutta ( MN 95
King Ajatasattu Vedehiputta	1	King Ajatasattu Vedehiputta	Now at that time King Ajatasattu Vedehiputta of Magadha , suspicious of King Pajjota
King Bimbisara	1	King Bimbisara	A son of King Bimbisara.
King Pajjota	1	King Pajjota	Vedehiputta of Magadha , suspicious of King Pajjota , was having Rajagaha fortified.
King Pasenadi Kosala's	1	King Pasenadi Kosala's	d & noisy, had gathered at the gates to King Pasenadi Kosala's inner palace, [calling out,] "There is
Kinsman	1	Kinsman	inal ancestor, and so called him their "Kinsman." The commentary notes that they regarde
Kinsman's	1	Kinsman's	menial, dark offspring of [Brahma] the Kinsman's feet?
Kisa Sankicca	1	Kisa Sankicca	"There are, for example, Nanda Vaccha, Kisa Sankicca, and Makkhali Gosala.
Koliyan	1	Koliyan	asion the Blessed One was living in the Koliyan country: there is a town of the Koliyan
Kukkata Monastery	1	Kukkata Monastery	Then he went to a certain monk at Kukkata Monastery and on arrival, having bowed down to hi
Last	1	Last	, The Blessed One addressed the monks: "Last night, monks, a certain deva's son in t
Latin	1	Latin	sition, (2) in the literal sense of its Latin source: adsumere , "to take up," which
Ledi Sayadaw	1	Ledi Sayadaw	re a rejection of all moral values, see Ledi Sayadaw, The Eightfold Path and its Factors Exp
Lending	1	Lending	" "Lending ear...
Lest	1	Lest	ing takes up studies with the thought: 'Lest the exceedingly sweet Buddha-word may p
Let Master Gotama	1	Let Master Gotama	Blessed One — said to the Blessed One, "Let Master Gotama ask me.
Let's	1	Let's	hese masters, the brahman seers, gone?" Let's curse him!' So the seven brahman seers
Life	1	Life	ons" familiar from the Tibetan Wheel of Life.
Limited Glory	1	Limited Glory	...of the gods of Limited Glory...
Lomahamsa	1	Lomahamsa	"Sattha, Pavatta, Sarabhanga, Lomahamsa, Uccangamaya, Asita, Anasava.
London	1	London	l-theory..." ( What the Buddha Taught , London, 1959; p.58).
Love	1	Love	Positive Response of Love "Monks, there are these five modes of s
Loving-kindness	1	Loving-kindness	"With a mind of Loving-kindness" (metta-sahagatena cetasa).
Luminous	1	Luminous	ahma, the body named Abhassara (Radiant/Luminous) from which you fell away & reappeared
Lye-water River	1	Lye-water River	xt to the Sword-leaf Forest is the vast Lye-water River.
Maara	1	Maara	Godhika Sutta (SN 4.23; PTS I, 122) by Maara: anvesa.m naadhigacchaami , "Searching
Magadha.'	1	Magadha.'	pleasure than King Seniya Bimbisara of Magadha.'" That is what the Blessed One said.
Magga Insight	1	Magga Insight	ension of the Four Ariya Truths through Magga Insight; (IV) diṭṭhāsava or the defilement that
Magha Puja	1	Magha Puja	— the event commemorated every year on Magha Puja.
Maha Jali	1	Maha Jali	Culla Jali and Maha Jali.
Maha Kaccana	1	Maha Kaccana	g these words, statements, & phrases." "Maha Kaccana is wise, monks.
Maha Kaccayana	1	Maha Kaccayana	rds, these statements, these phrases." "Maha Kaccayana is wise, monks.
Maha-Cunda	1	Maha-Cunda	Then one evening the venerable Maha-Cunda [1] rose from meditative seclusion and
Maha-sihanada Sutta	1	Maha-sihanada Sutta	of hells; see Majjhima Nikaya Sutta 12 (Maha-sihanada Sutta) .
Mahanama's	1	Mahanama's	s that the mental qualities that invade Mahanama's mind are precisely the ones he has not
Mahapadana Sutta	1	Mahapadana Sutta	mma ti Bhagavanto ahesum," found in the Mahapadana Sutta (Digha 14), the Acchariya-abbhutadhamma
Mahayana	1	Mahayana	In fact, one major Mahayana text — the Diamond Sutra — interprets t
Mahānāma	1	Mahanama	tā, asekhampi sīlaṃ vuttaṃ bhagavatā — "Mahānāma, the virtue of one in training has been
Majjhima Nikaya	1	Majjhima Nikaya	f right view in two other suttas in the Majjhima Nikaya.
Majjhima Nikaya Sutta	1	Majjhima Nikaya Sutta	ties, ghosts, inhabitants of hells; see Majjhima Nikaya Sutta 12 (Maha-sihanada Sutta) .
Maker	1	Maker	, All-Powerful, the Sovereign Lord, the Maker, Creator, Chief, Appointer and Ruler, F
Makkhali Gosāla	1	Makkhali Gosala	eople at large — i.e., Pūraṇa Kassapa , Makkhali Gosāla , Ajita Kesakambalin , Pakudha Kaccāyan
Mallans	1	Mallans	igarchic groups, such as the Vajjians & Mallans, wield the power in their own domains t
Mangala	1	Mangala	"Mangala was the lust-free paccekabuddha, Usabha
Mantani	1	Mantani	s a Gagga , great king, and my mother a Mantani ." "Then may Master Gagga Mantaniputta
Mantani's	1	Mantani's	ord, the monk named Punna Mantaniputta (Mantani's son) is esteemed by the native-land mon
Mantaniputta	1	Mantaniputta	companions in the holy life know me as Mantaniputta." "How amazing, my friend, how astoundin
Master Gagga Mantaniputta	1	Master Gagga Mantaniputta	g, and my mother a Mantani ." "Then may Master Gagga Mantaniputta delight [in staying here].
Master Licchavis	1	Master Licchavis	ence, addressed the Licchavis, "Listen, Master Licchavis.
Masters	1	Masters	ood-looking, & inspiring he becomes!' "'Masters, your asceticism is not in vain, and yo
Matanga	1	Matanga	"Ketumbaraga and Matanga, Ariya.
Material Elements And	1	Material Elements And	The Reflection on the Material Elements And further, monks, a monk reflects on this
Materiality	1	Materiality	e body." The Reflection on the Modes of Materiality (Elements, Dhatu) "And further, O bhikk
May Master Gotama	1	May Master Gotama	"May Master Gotama, together with the community of monks,
May Master Ratthapala	1	May Master Ratthapala	Ratthapala, "May Master Ratthapala sit here on the elephant rug." "Never m
Measureless Glory	1	Measureless Glory	...of the gods of Measureless Glory...
Measureless Radiance	1	Measureless Radiance	...of the gods of Measureless Radiance...
Megha	1	Megha	mbha, Subha, Methula, Atthama, and then Megha, Anigha, Sudatha are paccekabuddhas who
Mentality-Materiality	1	Mentality-Materiality	and has arrived at this true Dhamma." Mentality-Materiality 52.
Methula	1	Methula	"Sumbha, Subha, Methula, Atthama, and then Megha, Anigha, Sudat
Might	1	Might	asked him a further question: "Might there be diversity in the desire & pass
Milindapañha	1	Milindapanha	he sutta is referred to by that name at Milindapañha, p.
Mind Like Fire Unbound	1	Mind Like Fire Unbound	or life." See also: AN 4.24 ; AN 4.42 ; Mind Like Fire Unbound .
Mindful	1	Mindful	"Mindful, he breathes in, and mindful, he breath
Mine'	1	Mine'	ive aggregates of existence as 'I' and 'Mine', by way of a threefold wrong grasp ( ti
Misguided	1	Misguided	st pattern in rendering this sentence: "Misguided man, have I not stated in many ways con
Misrepresentation	1	Misrepresentation	[37] Misrepresentation 37 .
Mistress Vedehika	1	Mistress Vedehika	The Story of the Mistress Vedehika "In the past, monks, in this very Savat
Modern	1	Modern	roversy, centered on the word " ratta." Modern translators in Asian vernaculars are un
Modes	1	Modes	ody in the body." The Reflection on the Modes of Materiality (Elements, Dhatu) "And f
Monastery	1	Monastery	atthi in Jeta's Grove, Anathapindika 's Monastery.
Morality	1	Morality	med, first of all disciplines him thus: Morality "'Come you, monk, be of moral habit, li
More	1	More	e beginning, "Apart from" or "without." More on this below.) The substantive differe
Mostly	1	Mostly	ed here by "This universe is the Self." Mostly, the first five types of personality-be
Mount Sineru	1	Mount Sineru	comparing a mustard seed with Mount Sineru, he gives rise to the pernicious viewpo
Mulapariyaya Sutta	1	Mulapariyaya Sutta	this topic, see the introduction to the Mulapariyaya Sutta ( MN 1 ).
Mv	1	Mv	— Mv 1.23.5 The remainder of this sutta expa
Mv.I.15-22	1	Mv.I.15-22	y in the story of the Kassapa brothers (Mv.I.15-22) and that of Angulimala ( MN 86 ) — whe
Nagaraka	1	Nagaraka	mong the Sakyans in a Sakyan town named Nagaraka , there — face-to-face with the Blessed
Nagasamala	1	Nagasamala	discourse on the Dhamma?" "As to that, Nagasamala, you may remember this discourse on the
Naked	1	Naked	by day, Alone in awe-inspiring groves, Naked, no fire to sit beside, The sage yet pu
Nalanda Sutta	1	Nalanda Sutta	123), and the Nalanda Sutta of the Satipatthana Samyutta.
Nanda	1	Nanda	Ananda, Nanda, Upananda, the twelve paccekabuddhas, [
Nanda Vaccha	1	Nanda Vaccha	of the body?" "There are, for example, Nanda Vaccha, Kisa Sankicca, and Makkhali Gosala.
Nandas	1	Nandas	Four Anandas, four Nandas and four Upanandas, MA., iv.
Nanu	1	Nanu	The Pali here is, Nanu mayā moghapurisa anekapariyāyena paṭicc
Nay	1	Nay	Punnika speaks to a brahman as follows: Nay now, who, ignorant to the ignorant, Hat
Neither Perception	1	Neither Perception	( Neither Perception nor Non-Perception ) "Further, Ananda,
Nemisa	1	Nemisa	nlightened one, then Subahu, Upanemisa, Nemisa, Santacitta, Sacca, Tatha, Viraja, and
Niganthas.'	1	Niganthas.'	n among human beings, go forth with the Niganthas.' "'But, friend Gotama, it's not the case
Nigaṇṭha Nāṭaputta	1	Nigantha Nataputta	ccāyana , Sañjaya Velaṭṭhaputta , & the Nigaṇṭha Nāṭaputta : Do they all have direct knowledge as
Nijjhaana	1	Nijjhaana	entration the winning of insight, etc." Nijjhaana has here the meaning of "insight" or "c
Niraya	1	Niraya	orrowful state, a bad bourn, the abyss, Niraya hell.
Nitha	1	Nitha	[5] Gandhara, Pindola and Upasabha, Nitha, Tatha, Sutava, Bhavitatta.
No Harm	1	No Harm	"Doer of No Harm" is my name, but I used to be a doer of
Noble Disciples	1	Noble Disciples	d in worldly life, nor does it arise in Noble Disciples (ariya-savaka); because in a stream-win
Noble Practice	1	Noble Practice	to appease hunger and to carry out the Noble Practice of Purity.
Non-Agitation	1	Non-Agitation	is externally not present." Agitation & Non-Agitation "But, lord, might there be agitation ov
Non-Perception	1	Non-Perception	( Neither Perception nor Non-Perception ) "Further, Ananda, the monk — not atte
Non-origination	1	Non-origination	d element ( Nibbaana ) in the thought: "Non-origination is safety.
None	1	None	...of the gods who are Junior to None...
Northern India	1	Northern India	this imagery in the dead-flat plains of Northern India, which are chiseled with innumerable ru
Not Falling Away	1	Not Falling Away	after death, were to reappear among the Not Falling Away devas...
Not Yours	1	Not Yours	ded, that they perform such acts.' [43] Not Yours [44] 40 .
Not-self	1	Not-self	[25] Impermanence and Not-self 22 .
Nothing	1	Nothing	"Nothing given" means that the act of generosity
Nothingness	1	Nothingness	( Nothingness ) "Further, Ananda, the monk — not atte
Notice	1	Notice	nters & remains in internal emptiness." Notice that in every step along the way of thi
Novice's Questions	1	Novice's Questions	d unskillful behavior; the first of the Novice's Questions ( Khp 4 ), on nutriment.
Nutriment Saying	1	Nutriment Saying	d who has arrived at this true Dhamma." Nutriment Saying "Good, friend," having delighted in and
Nyanaponika's	1	Nyanaponika's	ontains an identical passage, he adopts Nyanaponika's interpretation as well.
Nyanatiloka	1	Nyanatiloka	er transforming one's life and nature" (Nyanatiloka, B.
Nyanatiloka's Buddhist Dictionary	1	Nyanatiloka's Buddhist Dictionary	one of the four types of clinging (see Nyanatiloka's Buddhist Dictionary ), conditioned by craving ( tanhaa ).
Obvious	1	Obvious	quote; perhaps it was a common adage.] "Obvious is also the harm done to others by dece
Okkala	1	Okkala	en Vassa & Bhañña — those teachers from Okkala who were proponents of no-causality, no
One Fortunate Attachment	1	One Fortunate Attachment	i renders it as "attachment," yielding "One Fortunate Attachment"; and Ven.
One-Well-Gone	1	One-Well-Gone	Let the One-Well-Gone teach the Dhamma!
Open	1	Open	I answered Brahma Sahampati in verse: 'Open are the doors to the Deathless to those
Out	1	Out	Pukkusati, "Out of dedication to whom, monk, have you g
Out Breathing	1	Out Breathing	Mindfulness of In-&-Out Breathing "Now how is mindfulness of in-&-out bre
Ovada Patimokkha	1	Ovada Patimokkha	1,250 arahant disciples to deliver the Ovada Patimokkha — the event commemorated every year on
Oxford	1	Oxford	Horner, trans.; Oxford: Pali Text Society, 1954-1959).
Paacittiya	1	Paacittiya	In the Paacittiya section of the Vinaya, Arittha's refusa
Pabbata	1	Pabbata	and Uppala; Padumuttara, Rakkhita, and Pabbata.
Paduma	1	Paduma	"Jeta, Jayanta, Paduma, and Uppala; Padumuttara, Rakkhita, and
Padumuttara	1	Padumuttara	"Jeta, Jayanta, Paduma, and Uppala; Padumuttara, Rakkhita, and Pabbata.
Pajaapati	1	Pajaapati	or the gods with the Lord of Creatures (Pajaapati), when searching will find [36] on what
Pakudha Kaccāyana	1	Pakudha Kaccayana	Makkhali Gosāla , Ajita Kesakambalin , Pakudha Kaccāyana , Sañjaya Velaṭṭhaputta , & the Nigaṇṭh
Pali Proper Names	1	Pali Proper Names	these thirteen names see Dictionary of Pali Proper Names, G.
Pandita	1	Pandita	, Santacitta, Sacca, Tatha, Viraja, and Pandita.
Panga	1	Panga	ala, Upakala, Vijita and Jita, Anga and Panga and Gutijjita.
Parasivi	1	Parasivi	Or: Parasivi.
Parikkamana	1	Parikkamana	Comy.: "Parikkamana (lit.
Parinibbana	1	Parinibbana	beyond all attachment [9] and attained Parinibbana." Notes 1 .
Pascal's	1	Pascal's	econd pragmatic argument that resembles Pascal's wager: If one practices the Dhamma, one
Patisambhidaa Magga	1	Patisambhidaa Magga	s for false views," as mentioned in the Patisambhidaa Magga (Ditthi-kathaa).
Patisambhidaa-Magga	1	Patisambhidaa-Magga	[See, e.g., Patisambhidaa-Magga, Ditthikathaa, Ucchedaditthi-niddesa; f
Pavarana	1	Pavarana	e fifteenth, the full-moon night of the Pavarana ceremony — the Blessed One was seated i
Pavatta	1	Pavatta	"Sattha, Pavatta, Sarabhanga, Lomahamsa, Uccangamaya, As
Paṭiccasamuppannaṃ	1	Paticcasamuppannam	le of the first pattern is in SN 12.24: Paṭiccasamuppannaṃ kho ānanda dukkhaṃ vuttaṃ mayā — "Ānand
Peaked Pavilion	1	Peaked Pavilion	near Vesali in the Great Forest, at the Peaked Pavilion.
Pecca	1	Pecca	aali idiom, meaning literally "this I." Pecca : lit.
Penetrating	1	Penetrating	reement through pondering dhammas?..." "Penetrating the meaning...
People	1	People	"People on seeing me would say, 'Gotama the con
Perceiving Unbinding	1	Perceiving Unbinding	[7] Perceiving Unbinding as Unbinding, he conceives things about
Perceptions	1	Perceptions	"Perceptions & feelings are mental; these are things
Perhaps Gotama	1	Perhaps Gotama	n, if the thought should occur to you, 'Perhaps Gotama the contemplative is even today not fre
Phaggu	1	Phaggu	The text has Phaggu which is a day of brahmanic purificatio
Pilotika's	1	Pilotika's	Vacchayana is Pilotika's clan name.
Pindola	1	Pindola	[5] Gandhara, Pindola and Upasabha, Nitha, Tatha, Sutava, Bha
Piyadassi	1	Piyadassi	ittha, Tagarasikhi, Yasassi, Sudassana, Piyadassi the enlightened.
Piyadassi Thera	1	Piyadassi Thera	Truths read The Buddha's Ancient Path, Piyadassi Thera, Buddhist Publication Society.
Possessed	1	Possessed	"Possessed of form, he/she sees forms.
Potaliputta's	1	Potaliputta's	The wanderer Potaliputta's question ought to have been answered af
Potaliya Sutta	1	Potaliya Sutta	t seven were explained in detail in the Potaliya Sutta, ( MN 54 ; see The Wheel No.
Precisely	1	Precisely	tion is described by the Blessed One?" "Precisely this noble eightfold path — right view,
Prince	1	Prince	unendearing & disagreeable to others?" "Prince, there is no categorical yes-or-no answ
